frame_id,timestamp,sofa_detected,centroid_x,centroid_y,frame_center_x,frame_center_y,offset_x,offset_y,centrado,depth_value,depth_error
1,1749317258.792544,0,-1,-1,200,150,-1,-1,0,-1.0,-1
2,1749317258.9310646,1,149,123,200,150,-51,-27,1,-1.0,-1
3,1749317259.33227,1,147,120,200,150,-53,-1,1,1.9892317056655884,0
4,1749317260.0764413,1,145,112,200,150,-55,-1,1,1.9282641410827637,0
5,1749317260.6282377,1,147,113,200,150,-53,-1,1,2.0091795921325684,0
6,1749317261.1708214,1,152,113,200,150,-48,-1,1,1.9560372829437256,0
7,1749317261.8414426,1,155,113,200,150,-45,-1,1,2.2084202766418457,0
8,1749317262.4699085,1,165,114,200,150,-35,-1,1,2.1327147483825684,0
9,1749317263.0542016,1,165,114,200,150,-35,-1,1,2.1327147483825684,0
10,1749317263.9301994,1,173,113,200,150,-27,-1,1,2.182455539703369,0
11,1749317264.7087657,1,197,103,200,150,-3,-1,1,1.9822005033493042,0
12,1749317265.2031186,0,-1,-1,200,150,-1,-1,0,1.9822005033493042,0
13,1749317265.4332604,0,-1,-1,200,150,-1,-1,0,1.9822005033493042,0
14,1749317265.8316593,1,223,111,200,150,23,-1,1,1.929976224899292,0
15,1749317266.3155596,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
16,1749317266.5938802,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
17,1749317266.8684719,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
18,1749317267.1434503,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
19,1749317267.4454026,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
20,1749317267.7164109,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
21,1749317267.9773366,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
22,1749317268.2280188,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
23,1749317268.4784179,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
24,1749317268.719821,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
25,1749317268.9609718,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
26,1749317269.2101877,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
27,1749317269.4634154,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
28,1749317269.7092857,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
29,1749317269.956269,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
30,1749317270.1896935,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
31,1749317270.4332137,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
32,1749317270.6787307,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
33,1749317270.9306574,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
34,1749317271.175119,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
35,1749317271.407511,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
36,1749317271.658277,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
37,1749317271.8897395,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
38,1749317272.1359978,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
39,1749317272.378374,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
40,1749317272.6357224,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
41,1749317272.8893788,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
42,1749317273.1415222,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
43,1749317273.3733923,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
44,1749317273.596825,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
45,1749317273.826778,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
46,1749317274.0538673,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
47,1749317274.3578827,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
48,1749317274.6700053,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
49,1749317274.9447956,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
50,1749317275.2280571,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
51,1749317275.4752362,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
52,1749317275.7075486,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
53,1749317275.9439213,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
54,1749317276.1847022,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
55,1749317276.4290023,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
56,1749317276.6738577,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
57,1749317276.9108818,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
58,1749317277.1489263,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
59,1749317277.3739274,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
60,1749317277.6166317,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
61,1749317277.850671,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
62,1749317278.087124,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
63,1749317278.342045,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
64,1749317278.5833454,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
65,1749317278.8319602,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
66,1749317279.068427,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
67,1749317279.2952604,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
68,1749317279.536468,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
69,1749317279.7718892,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
70,1749317280.001329,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
71,1749317280.2605033,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
72,1749317280.503093,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
73,1749317280.7534554,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
74,1749317281.0066035,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
75,1749317281.2572062,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
76,1749317281.5217843,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
77,1749317281.7738576,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
78,1749317282.0225797,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
79,1749317282.267262,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
80,1749317282.5227354,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
81,1749317282.7642486,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
82,1749317283.0203345,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
83,1749317283.275631,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
84,1749317283.5461,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
85,1749317283.8163779,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
86,1749317284.1125793,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
87,1749317284.374528,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
88,1749317284.6286423,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
89,1749317284.8846612,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
90,1749317285.1232238,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
91,1749317285.4928644,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
92,1749317285.8328292,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
93,1749317286.1822326,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
94,1749317286.5399754,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
95,1749317286.8281639,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
96,1749317287.113707,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
97,1749317287.4252903,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
98,1749317287.701914,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
99,1749317287.9699316,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
100,1749317288.259837,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
101,1749317288.5495963,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
102,1749317288.833824,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
103,1749317289.1106126,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
104,1749317289.385487,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
105,1749317289.680221,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
106,1749317289.9837916,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
107,1749317290.2562938,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
108,1749317290.5363464,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
109,1749317290.8338172,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
110,1749317291.1150796,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
111,1749317291.408188,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
112,1749317291.698013,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
113,1749317292.0019448,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
114,1749317292.358807,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
115,1749317292.6568289,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
116,1749317292.9664044,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
117,1749317293.3106701,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
118,1749317293.6183736,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
119,1749317293.9407496,0,-1,-1,200,150,-1,-1,0,1.929976224899292,0
